date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:19	139423/139423	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2002:00:17%20GMT	https://jordanusabank.com/login/?redirect_to=https%253A%252F%252Fjordanusabank.com%252Fabout-us	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/login/index560e.html	(from https://jordanusabank.com/about-us/)
10:00:19	76666/76666	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2014:51:07%20GMT	https://jordanusabank.com/heerevoa/2021/08/stock-photo-asian-banker-counseling-man-in-office.jpg	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/2021/08/stock-photo-asian-banker-counseling-man-in-office.jpg	(from https://jordanusabank.com/about-us/)
10:00:19	109653/109653	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Mar%202021%2016:34:59%20GMT	https://jordanusabank.com/heerevoa/2021/03/bank-staff.jpg	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/2021/03/bank-staff.jpg	(from https://jordanusabank.com/about-us/)
10:00:20	2055/2055	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2021:43:40%20GMT	https://jordanusabank.com/heerevoa/elementor/css/post-240.css?ver=1641332620	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/elementor/css/post-24041c3.css	(from https://jordanusabank.com/contact-us/)
10:00:22	13531/13531	---MC-	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:21%20GMT	https://jordanusabank.com/wp-json/wp/v2/pages/240	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/wp/v2/pages/240.json	(from https://jordanusabank.com/contact-us/)
10:00:23	2327/2327	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:23%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fcontact-us%2F	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embed3119.json	(from https://jordanusabank.com/contact-us/)
10:00:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Feb%202022%2002:00:23%20GMT	https://jordanusabank.com/?p=240	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/indexcfe0.html	(from https://jordanusabank.com/contact-us/)
10:00:25	2400/2400	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Feb%202022%2002:00:24%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fcontact-us%2F&format=xml	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embed0cff	(from https://jordanusabank.com/contact-us/)
10:00:30	139433/139433	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2002:00:27%20GMT	https://jordanusabank.com/login/?redirect_to=https%253A%252F%252Fjordanusabank.com%252Fcontact-us	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/login/indexb6c3.html	(from https://jordanusabank.com/contact-us/)
10:00:32	6095/6095	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Sep%202021%2010:08:04%20GMT	https://jordanusabank.com/melody11/mycred/assets/css/fonts/mycred-social-icons.svg?u9j1dx	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/mycred/assets/css/fonts/mycred-social-icons9ff6.svg	(from https://jordanusabank.com/melody11/mycred/assets/css/mycred-social-icons.css?ver=2.2)
10:00:34	91472/91472	---M--	200	added ('OK')	font/woff2	date:Mon,%2003%20Jan%202022%2018:11:20%20GMT	https://jordanusabank.com/melody11/elementor/assets/lib/eicons/fonts/eicons.woff2?5.13.0	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/elementor/assets/lib/eicons/fonts/eiconsc387.woff2	(from https://jordanusabank.com/melody11/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0)
10:00:36	208060/208060	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2003%20Jan%202022%2018:11:20%20GMT	https://jordanusabank.com/melody11/elementor/assets/lib/eicons/fonts/eicons.eot?5.13.0	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/elementor/assets/lib/eicons/fonts/eiconsc387.eot	(from https://jordanusabank.com/melody11/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0)
10:00:38	519756/519756	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2019:16:05%20GMT	https://jordanusabank.com/wp-content/uploads/2021/08/passw.png	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-content/uploads/2021/08/passw.png	(from https://jordanusabank.com/heerevoa/elementor/css/post-64.css?ver=1641251249)
10:00:39	441170/441170	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2017:09:00%20GMT	https://jordanusabank.com/wp-content/uploads/2021/08/login-button.png	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-content/uploads/2021/08/login-button.png	(from https://jordanusabank.com/heerevoa/elementor/css/post-62.css?ver=1641238480)
